driverId,avg_pitstop_time,position
20,22178.0,1
8,22457.0,2
154,22968.333333333332,3
17,22196.666666666668,4
3,22339.666666666668,5
814,22276.0,6
4,22916.666666666668,7
1,27553.0,8
13,22486.0,9
30,22092.0,10
815,23253.333333333332,11
807,22473.0,12
155,24340.666666666668,13
818,22785.666666666668,14
817,23539.666666666668,15
808,23333.0,16
5,23795.5,17
18,22961.25,18
10,25334.666666666668,19
37,24060.333333333332,20
39,25458.5,21
811,22837.0,22
813,22599.0,\N
819,24020.0,\N
